Date,Year,CPI,Montly Inflation,Rolling Annual,,,,,,
1/30/1913,1913,9.8,,,,,,,,
2/28/1913,1913,9.8,0,,,,,,,
3/31/1913,1913,9.8,0,,,,,,,
4/30/1913,1913,9.8,0,,,,,,,
5/31/1913,1913,9.7,-1.020408163,,,,,,,
6/30/1913,1913,9.8,1.030927835,,,,,,,
7/31/1913,1913,9.9,1.020408163,,,,,,,
8/31/1913,1913,9.9,0,,,,,,,
9/30/1913,1913,10,1.01010101,,,,,,,
10/31/1913,1913,10,0,,,,,,,
11/30/1913,1913,10.1,1,,,,,,,
12/31/1913,1913,10,-0.99009901,,,,,,,
1/30/1914,1914,10,0,2.040816327,,,,,,
2/28/1914,1914,9.9,-1,1.020408163,,,,,,
3/31/1914,1914,9.9,0,1.020408163,,,,,,
4/30/1914,1914,9.8,-1.01010101,0,,,,,,
5/31/1914,1914,9.9,1.020408163,2.06185567,,,,,,
6/30/1914,1914,9.9,0,1.020408163,,,,,,
7/31/1914,1914,10,1.01010101,1.01010101,,,,,,
8/31/1914,1914,10.2,2,3.03030303,,,,,,
9/30/1914,1914,10.2,0,2,,,,,,
10/31/1914,1914,10.1,-0.980392157,1,,,,,,
11/30/1914,1914,10.2,0.99009901,0.99009901,,,,,,
12/31/1914,1914,10.1,-0.980392157,1,,,,,,
1/31/1915,1915,10.1,0,1,,,,,,
2/28/1915,1915,10,-0.99009901,1.01010101,,,,,,
3/31/1915,1915,9.9,-1,0,,,,,,
4/30/1915,1915,10,1.01010101,2.040816327,,,,,,
5/31/1915,1915,10.1,1,2.02020202,,,,,,
6/30/1915,1915,10.1,0,2.02020202,,,,,,
7/31/1915,1915,10.1,0,1,,,,,,
8/31/1915,1915,10.1,0,-0.980392157,,,,,,
9/30/1915,1915,10.1,0,-0.980392157,,,,,,
10/31/1915,1915,10.2,0.99009901,0.99009901,,,,,,
11/30/1915,1915,10.3,0.980392157,0.980392157,,,,,,
12/31/1915,1915,10.3,0,1.98019802,,,,,,
1/31/1916,1916,10.4,0.970873786,2.97029703,,,,,,
2/29/1916,1916,10.4,0,4,,,,,,
3/31/1916,1916,10.5,0.961538462,6.060606061,,,,,,
4/30/1916,1916,10.6,0.952380952,6,,,,,,
5/31/1916,1916,10.7,0.943396226,5.940594059,,,,,,
6/30/1916,1916,10.8,0.934579439,6.930693069,,,,,,
7/31/1916,1916,10.8,0,6.930693069,,,,,,
8/31/1916,1916,10.9,0.925925926,7.920792079,,,,,,
9/30/1916,1916,11.1,1.834862385,9.900990099,,,,,,
10/31/1916,1916,11.3,1.801801802,10.78431373,,,,,,
11/30/1916,1916,11.5,1.769911504,11.65048544,,,,,,
12/31/1916,1916,11.6,0.869565217,12.62135922,,,,,,
1/31/1917,1917,11.7,0.862068966,12.5,,,,,,
2/28/1917,1917,12,2.564102564,15.38461538,,,,,,
